热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
393,2017秋季新款春夏破洞牛仔裤女长裤小脚裤韩版女士修身显瘦铅笔裤价格：328,晚烟旗舰店,43,43,16,//wanyanfs.tmall.com,260,340,340,326,350,492,291,314,362,401,448,354,382,393
394,2017新款韩版破洞学生牛仔裤短裤女夏弹力中腰百搭显瘦热裤子薄潮价格：79,惠茜牛仔,42,42,27,//huixi66.taobao.com,252,322,322,266,291,418,377,487,484,311,390,498,442,401
395,2017秋季新款韩版紧身黑色牛仔裤女小脚弹力显瘦铅笔裤修身长裤潮价格：239,梅玲龙旗舰店,42,42,24,//meilinglong.tmall.com,,,,,,,,,,401,,373,486,395
396,天天特价春夏季新款刺绣牛仔裤女九分裤韩版小脚裤个性显瘦裤子潮价格：128,丽丽家牛仔,42,42,20,//shop122471076.taobao.com,,,,,,,,,,,,,397,396
397,破洞牛仔裤女裤子九分春夏季2017新款韩版学生显瘦小脚黑色打底裤价格：199,比丽福旗舰店,42,42,19,//bilifu.tmall.com,,,,,,,,,,,,,377,397
398,牛仔裤女秋季2017新款松紧腰高腰九分裤显瘦大码女裤子胖mm夏长裤价格：159,蜜糖之城服饰旗舰店,42,42,19,//mitangzhicheng.tmall.com,483,288,288,346,307,372,487,,382,446,491,404,420,398
399,Vero Moda2017秋季新品基础款设计九分小脚牛仔裤|317349502价格：379,veromoda官方旗舰店,42,42,21,//veromoda.tmall.com,,247,247,,,,411,107,110,477,,,,399
400,白色牛仔裤女春2017新款长裤韩版显瘦小脚裤夏季铅笔裤九分裤薄价格：169,芳芳之佳旗舰店,42,43,29,//fangfangzhijia.tmall.com,420,446,446,355,374,,346,484,388,494,428,389,427,407
401,CBC2017春夏超高弹力牛仔短裤女浅蓝色卷边韩版修身显瘦高腰热裤价格：248,cobcbc服饰旗舰店,42,42,27,//cobcbc.tmall.com,337,491,491,368,364,339,476,283,487,335,393,324,391,410
402,妖精的口袋W阅读时长秋装2017新款破洞微喇叭牛仔裤女九分裤子价格：249,妖精的口袋旗舰店,42,42,22,//yaojingdekoudai.tmall.com,,,,,,,,,,,,,,402
403,夏秋薄款高腰牛仔裤女九分裤chic韩版紧身毛边学生百搭小脚铅笔裤价格：108,T淘气牛仔,42,42,24,//shop150025165.taobao.com,,,,,,,,,,,,,411,412
