热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
188,打底裤女春夏季2017新款高腰排扣韩版显瘦学生薄款小脚裤外穿长裤价格：198,猫蔻旗舰店,82,82,28,//maokou.tmall.com,,,,,,,,,,,,,,82
189,MISS FLY 2017夏季新款女韩版重工钉珠开叉牛仔喇叭裤修身九分裤价格：178,MISS FLY飞姐定制,82,82,12,//fly-style.taobao.com,113,105,105,90,98,92,91,95,79,73,67,85,77,82
190,2017春夏新款破洞牛仔裤女韩版高腰显瘦九分裤女小脚裤女黑色裤子价格：168,attainluxury奢臻旗舰店,82,82,19,//shezhen.tmall.com,30,32,32,31,35,38,60,48,51,79,57,74,78,82
191,Vero Moda2017春季新品修身小脚划破九分牛仔裤|317149507价格：449,veromoda官方旗舰店,82,82,18,//veromoda.tmall.com,5,12,12,,,,54,27,16,7,,,,82
192,韩版新款牛仔短裤女夏季弹力显瘦2017薄款学生破洞短裤修身热裤潮价格：85,《韩美》,82,82,33,//shop112753329.taobao.com,206,178,178,152,149,163,123,113,133,114,95,114,82,82
193,欧洲站2017新款个性弹力破洞牛仔裤女九分裤修身小脚裤女士破洞裤价格：59.9,依园美高端定制,81,81,16,//shop556302403.taobao.com,26,36,36,48,57,56,67,65,90,67,84,75,96,81
194,2017新款夏季薄款韩国高腰牛仔裤女九分裤修身显瘦弹力小脚铅笔裤价格：128,灿莉娅旗舰店,81,81,13,//canliya.tmall.com,79,82,82,83,111,101,109,99,90,74,78,78,88,81
195,牛仔九分裤女高弹显瘦显高修身铅笔裤小脚破洞夏季韩版潮百搭裤子价格：120,揭阳泽宏贸易有限公司,81,81,17,//shop187860957.taobao.com,,,,,,,,401,202,33,,,102,81
196,夏季韩版百搭复古chic破洞牛仔裤修身显瘦弹力撕边小脚裤铅笔裤女价格：40,枯米枯米kumi,80,80,17,//kukumi.taobao.com,163,139,139,85,99,77,97,123,106,94,89,70,65,80
197,OSA欧莎2017秋装新款女装白色破洞修身牛仔裤显瘦直筒裤女C53012价格：229,osa品牌服饰旗舰店,80,80,31,//osa.tmall.com,,,,,,,55,,,,,,,80
