热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170628,日期：20170629,日期：20170630,日期：20170701,日期：20170702,日期：20170703,日期：20170704
40,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,844,0.0182,190,51,33,46,51,51,44,40
41,高腰牛仔短裤女夏季2017新款韩版学生宽松翻边热裤百搭破洞超短裤价格：108,书香谷旗舰店,828,-0.0625,176,92,72,83,70,57,39,41
42,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：29.9,Since2015  沫沫家,823,0.033,201,68,41,38,52,55,47,42
43,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.9,苏菲家潮人馆,814,-0.0651,189,62,45,47,45,54,45,43
44,牛仔短裤女夏2017新款高腰流行韩版宽松学生百搭显瘦毛边白色热裤价格：298,爱衣频道旗舰店,811,-0.0934,185,141,22,26,67,59,55,44
45,LRUD牛仔裤女2017夏装新款韩版女装高腰显瘦牛仔短裤宽松直筒热裤价格：110,lrud旗舰店,807,695.6748,186,,313,413,362,,,45
46,千衣百酷2017夏季新款高腰破洞牛仔短裤女韩版百搭宽松显廋热裤潮价格：110,千衣百酷旗舰店,780,-0.0517,140,74,55,67,54,61,46,46
47,牛仔短裤夏季女2017新款韩版高腰宽松破洞毛边学生阔腿裤显瘦热裤价格：139,纯儿服饰旗舰店,769,-0.0477,164,133,101,116,65,52,48,47
48,牛仔短裤女夏高腰宽松破洞热裤春季女2017新款韩版a字学生阔腿裤价格：90,东哞旗舰店,762,0.1052,178,143,126,107,5,6,59,48
49,高腰牛仔短裤女夏装胖mm宽松200斤加肥加大码显瘦阔腿破洞a字热裤价格：99,胖MM大购物,760,-0.1054,220,153,94,53,58,42,42,49
50,初牛2017夏季新款牛仔短裤女中腰弹力显瘦学生韩版休闲宽松热裤潮价格：198,初牛旗舰店,755,-0.0092,170,47,42,44,56,62,52,50
51,松紧腰高腰牛仔短裤女夏韩版2017新款宽松胖mm卷边显瘦大码短裤潮价格：89,卿若服饰旗舰店,750,-0.0036,146,65,46,54,40,45,53,51
52,夏季新款高腰牛仔短裤女大码宽松胖mm阔腿四分bf风热裤五分中裤薄价格：98,LORI女生,733,-0.225,195,32,27,20,24,25,34,52
53,唐狮夏季宽松牛仔短裤女夏高腰流苏牛仔短裤显瘦阔腿裤白色毛边款价格：169,唐狮官方旗舰店,724,64.3486,176,,,,,,,53
54,夏季韩版女装高腰显瘦毛边牛仔短裤宽松百搭牛仔裤阔腿裤学生热裤价格：31,梦露日记时尚女装,717,0.3215,187,121,112,148,110,102,87,54
55,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,715,0.02,270,97,68,25,32,37,61,55
56,黑白灰色高腰牛仔短裤女夏毛边胖mm加肥大码宽松200斤韩版热裤潮价格：29.9,Since2015  沫沫家,715,-0.0108,159,56,44,48,49,58,57,56
57,牛仔短裤女夏中腰弹力翻边破洞毛边大码韩版修身显瘦学生短裤女夏价格：108,摩狮顿旗舰店,714,-0.085,164,52,39,36,47,49,51,57
58,高腰牛仔短裤女夏2017新款显瘦韩版百搭学生热裤潮短裤ulzzang女价格：159,Chenkengwei,704,0.0583,123,122,107,74,83,73,66,58
59,尚驭牛仔短裤夏季女士2017新款韩版个性百搭修身卷边破洞中腰热裤价格：258,尚驭服饰旗舰店,697,0.6549,182,287,174,133,141,139,133,59
60,牛仔短裤女夏季白色百搭牛仔裤2017新款韩版宽松学生高腰显瘦热裤价格：79,慕汀服饰旗舰店,697,-0.0875,179,67,50,49,41,46,54,60
61,韩版新款高腰破洞牛仔短裤女夏胖mm大码阔腿裤显瘦性感毛边热裤潮价格：79,喜登米莱旗舰店,689,-0.082,228,54,48,55,55,60,60,61
62,2017大码毛边牛仔短裤女夏新款韩版学生高腰宽松破洞胖mm阔腿热裤价格：129,尚兰奴旗舰店,684,0.1425,145,86,65,80,77,85,75,62
63,网格破洞牛仔短裤女夏新款高腰毛边渔网拼接短裤个性显瘦阔腿热裤价格：139,小歪潮流女装,678,-0.0003,231,89,69,37,61,70,64,63
64,牛仔短裤女夏季破洞毛边高腰白色宽松学生阔腿牛仔裤显瘦百搭热裤价格：99,KO裤业总店,676,-0.0217,203,28,30,41,50,56,62,64
65,TOPSHOPJONI高腰版超弹修身超软牛仔裤02J10KBLK价格：359,TOPSHOP旗舰店,668,0,200,,,,,,,65
66,高腰排扣性感破洞牛仔短裤女学生毛边2017夏新款韩版a字阔腿热裤价格：29.9,Since2015  沫沫家,662,0.0383,177,42,57,63,59,71,70,66
67,牛仔短裤夏女韩版大码胖mm宽松百搭学生高腰破洞热裤春季2017新款价格：69,【北京商盟】义成衣舍 大码牛仔,661,-0.4186,166,184,212,311,308,278,21,67
68,逸阳女裤2017夏季新款牛仔裤女九分裤高腰铅笔裤八分小脚裤薄1795价格：149,逸阳旗舰店,655,23.1235,242,,,,,,,68
69,高腰牛仔短裤女夏宽松韩版大码胖mm学生五分松紧腰显瘦2017新款潮价格：269,紫霞仙子与牛仔,654,0.1334,207,110,108,90,81,67,80,69
70,LRUD牛仔裤女2017夏季女装新款韩版高腰牛仔短裤女宽松阔腿裤热裤价格：110,lrud旗舰店,646,288.6622,176,407,372,325,262,,,70
71,黑色牛仔短裤女夏白色2017新款外穿显瘦高腰宽松韩版学生a字阔腿价格：138,简卡奴旗舰店,646,-0.0146,139,73,60,71,80,72,68,71
72,牛仔裤女七分裤夏季韩版显瘦7分裤薄款中裤大码热裤2017新款女裤价格：198,娇宣尼旗舰店,639,0,163,,,,,,,72
73,镇店之宝！2017韩版百搭卷边弹力高腰浅色纯色修身牛仔短裤女裤价格：69,hello丑八怪,638,-0.0207,132,134,103,87,93,82,67,73
74,LRUD牛仔短裤女夏2017新款韩版裤子夏季高腰宽松牛仔裤阔腿裤热裤价格：110,lrud旗舰店,635,0,192,,399,381,297,,,74
75,夏季学生白色弹力破洞牛仔短裤女毛边大码韩版潮宽松显瘦阔腿热裤价格：39.98,小菲家新款每日更新,635,-0.1402,176,69,54,43,48,50,56,75
76,露菲雅2017牛仔裤女九分裤夏新款弹力修身显瘦百搭微喇薄款牛仔裤价格：189,露菲雅LFY女装,629,0,549,,,,,,,76
77,2017韩时尚高腰大码破洞牛仔短裤女夏宽松百搭显瘦学生热裤送腰带价格：118,品牛仔紫沫店,625,-0.0653,197,21,26,45,63,64,65,77
78,2017韩版新款大码胖mm毛边绑带高腰牛仔短裤女夏宽松显瘦阔腿热裤价格：99,胖MM大购物,623,0.0169,215,118,53,31,66,80,72,78
79,牛仔短裤女2017夏季新款韩版高腰做旧破洞毛边宽松显瘦学生热裤潮价格：19,Nice潮人馆,587,-0.0245,167,87,70,73,62,65,73,79
80,2017夏季新款牛仔短裤女夏韩版高腰宽松破洞百搭裤子显瘦修身热裤价格：88,爱梦缘旗舰店,584,0.2508,207,355,326,226,144,94,106,80
81,逸阳女裤2017夏季新款修身牛仔裤女七分裤薄款裤子弹力铅笔裤1309价格：159,逸阳旗舰店,580,23.6336,245,,,,,,,81
82,逸阳女裤2017新款夏卷边短裤女宽松牛仔裤薄韩版直筒高腰热裤2222价格：139,逸阳旗舰店,569,0,218,,,,,,,82
83,牛仔短裤女夏白色高腰2017新款韩版宽松学生百搭大码胖mm显瘦热裤价格：288,香舒婷旗舰店,569,-0.0123,171,98,92,100,79,75,82,83
84,2017春夏女装高弹力大码修身显瘦卷边浅色高腰牛仔短裤热裤包邮价格：199,格秋旗舰店,561,-0.0084,179,95,77,77,97,78,84,84
85,夏装女装韩版宽松高腰毛边牛仔裤短裤小开叉阔腿裤学生热裤显瘦潮价格：29.98,可可里小姐,560,-0.0341,138,72,63,93,87,76,79,85
86,欧洲站破洞高腰牛仔短裤女士夏装2017新款大码显瘦时尚卷边热裤潮价格：159,郁小朵,558,0.0446,180,70,66,92,84,86,90,86
87,200斤夏季胖mm加肥加大码女装松紧腰阔腿宽松破洞牛仔裤女短裤潮价格：182,yy潮流八爪娘娘西西小可6度梦梦家,530,-0.0002,273,12,11,3,57,77,92,87
88,修身小脚牛仔裤女七分裤 夏季薄款韩版显瘦大码中裤女7八分裤子潮价格：98,迈可思旗舰店,530,-0.0479,233,77,61,61,64,63,83,88
89,娅谷奈 牛仔短裤女夏2017新款 韩版百搭高腰宽松破洞学生阔腿热裤价格：158,娅谷奈旗舰店,529,-0.0131,167,111,104,109,96,87,89,89
90,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤简约裤裙价格：298,fxdis旗舰店,527,0.072,149,148,105,108,95,68,99,90
91,cheeseY 夏季牛仔短裤女高腰韩版宽松学生黑色毛边阔腿显瘦热裤潮价格：6,666,cheeseY studio 芝柚定制,522,-0.1517,111,31,47,69,82,91,71,91
92,松紧腰宽松加肥加大码胖mm200斤牛仔短裤女夏季薄七分裤中裤马裤价格：129,牛 家 河 儿,518,-0.1286,161,128,102,81,75,69,78,92
93,2017夏季新款高腰a字显瘦chic牛仔短裤宽松韩版破洞阔腿热女学生价格：29.8,三角衣柜,516,0.205,153,116,110,163,131,114,117,93
94,2017百搭新款破洞牛仔短裤女夏季弹力热裤学生显瘦韩版毛边短裤潮价格：78,《韩美》,515,0.0193,201,124,133,95,109,89,97,94
95,高腰牛仔裤女九分裤春夏季2017新款韩版破洞学生铅笔裤黑色小脚裤价格：99,本真之美旗舰店,514,-0.087,190,75,64,62,78,74,85,95
96,夏季牛仔短裤女高腰韩版学生破洞修身阔腿宽松卷边白色百搭热裤价格：299,素柏旗舰店,511,0.1406,144,53,58,58,85,103,114,96
97,牛仔短裤女夏季学生白色破洞毛边韩版宽松超短裤大码高腰阔腿热裤价格：100,罗塔依曼旗舰店,500,-0.0859,207,140,109,89,101,93,86,97
98,夏季新款毛边短裤女韩版破洞拼接网格牛仔裤短裤显瘦百搭渔网裤价格：188,圣菲格旗舰店,500,-0.2308,297,,,,,416,69,98
99,新款高腰破洞牛仔短裤女夏季宽松显瘦薄款学生阔腿大码松紧腰热裤价格：128,鑫蓉牛仔,499,-0.0451,216,123,118,76,100,101,95,99
100,韩版高腰不规则破洞牛仔短裤女夏宽松毛边烟灰色学生百搭阔腿热裤价格：113,奶茶女装衣舍,498,-0.0252,150,88,85,78,94,95,96,100
101,牛仔短裤女夏2017新款韩版破洞宽松显瘦学生卷边阔腿热裤超短裤潮价格：139,凸傲旗舰店,493,-0.3829,140,115,74,88,1,43,43,101
102,高腰牛仔裤女九分裤夏装2017春夏季新款韩版显瘦小脚长裤铅笔裤子价格：128,爱斯麦乐驹专卖店,490,-0.1866,179,96,73,65,74,83,74,102
103,2017夏季宽松可爱小清新森女系牛仔背带裤连体裤吊带韩版潮学生价格：119,戚米旗舰店,490,-0.0634,63,197,153,104,90,33,93,103
104,夏季高腰牛仔短裤女 宽松卷边阔腿裤大码破洞显瘦a字热裤韩版学生价格：98,杜凡尔顿旗舰店,479,-0.0041,173,114,87,84,98,100,104,104
105,白色牛仔短裤女夏2017新款高腰破洞修身显瘦韩版毛边百搭阔腿裤价格：158,彩依恋旗舰店,478,-0.1101,134,152,98,112,103,97,91,105
106,韩国ulzzang原宿风bf高腰水洗不规则毛边牛仔裤女宽松阔腿短裤女价格：19.98,小公主家,476,-0.0926,164,85,76,85,86,88,94,106
107,CHICVEN自制夏季新款 复古高腰显瘦阔腿翻边卷边牛仔短裤热裤 女价格：75,CHIC VEN,470,0.0353,141,27,40,105,102,125,111,107
108,牛仔短裤女夏2017新款宽松韩版显瘦大码胖mm学生高腰破洞五分裤潮价格：269,曼茵服饰有限公司,466,0.0173,181,158,117,120,111,106,108,108
109,黑色高腰前短后长牛仔短裤女夏毛边热裤胖mm加肥加大码宽松200斤价格：19.9,Sun goddess衣橱,464,-0.214,255,58,49,35,25,44,81,109
110,牛仔裤女春夏季2017新款裤子韩版百搭高腰热裤毛边黑色牛仔短裤夏价格：118,安诺黎,457,0.1739,137,117,113,111,135,155,127,110
111,2017新款韩版牛仔短裤女夏季学生高腰白色大码宽松破洞阔腿热裤子价格：100,爱莱蒙旗舰店,457,-0.0068,198,90,79,64,69,90,107,111
