排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,天丝,6,593,0.6667,408,0.0784,0.96,6,,,13,6,13,6
2,夏天,89,4111,-1.6629,2913,0.0452,1.92,76,59,87,70,49,161,89
3,欧洲站,65,5780,-1.7538,4177,0.0245,0.82,60,53,68,86,62,103,65
4,mm,2032,43455,-5.122,32463,0.0696,3.6,1853,1867,1903,1902,2136,2302,2032
5,森马,6,647,-5.1667,437,0.0536,0.49,6,,,,31,56,6
6,以纯,7,798,-9.1429,365,0,0,,6,,,12,14,7
7,原宿,643,25993,-15.9767,18633,0.0276,0.75,575,516,513,600,938,930,643
8,bf,1319,48302,-22.9727,34200,0.0359,0.99,1148,1132,1139,1299,1594,1600,1319
9,chic,95,22538,-44.8316,15266,0.0368,0.62,59,39,45,74,113,170,95
