排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,天丝,6,593,0.6667,408,0.0784,0.96,0.1053,,,0.0201,0.0619,0.0378,0.0784
2,夏天,89,4111,-1.6629,2913,0.0452,1.92,0.0591,0.0403,0.0898,0.0971,0.0423,0.065,0.0452
3,欧洲站,65,5780,-1.7538,4177,0.0245,0.82,0.0227,0.0223,0.0153,0.0245,0.0195,0.0228,0.0245
4,mm,2032,43455,-5.122,32463,0.0696,3.6,0.0607,0.0637,0.0648,0.064,0.061,0.0774,0.0696
5,森马,6,647,-5.1667,437,0.0536,0.49,0,,,,0.0039,0.0845,0.0536
6,以纯,7,798,-9.1429,365,0,0,,0.029,,,0.0122,0.0261,0
7,原宿,643,25993,-15.9767,18633,0.0276,0.75,0.0229,0.0231,0.0244,0.0236,0.0233,0.0323,0.0276
8,bf,1319,48302,-22.9727,34200,0.0359,0.99,0.0316,0.0307,0.0278,0.0281,0.0273,0.0412,0.0359
9,chic,95,22538,-44.8316,15266,0.0368,0.62,0.0349,0.0203,0.0137,0.0306,0.033,0.0448,0.0368
