排名,搜索词,相关搜索词数,搜索人气,词均搜索增长幅度,点击人气,支付转化率,直通车参考价,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,天丝,6,593,0.6667,408,0.0784,0.96,326,,,883,1177,1026,408
2,夏天,89,4111,-1.6629,2913,0.0452,1.92,2448,2252,3019,2644,1868,4714,2913
3,欧洲站,65,5780,-1.7538,4177,0.0245,0.82,3525,3219,4314,4516,4068,4936,4177
4,mm,2032,43455,-5.122,32463,0.0696,3.6,29638,32494,31045,32024,32565,40485,32463
5,森马,6,647,-5.1667,437,0.0536,0.49,181,,,,1288,2686,437
6,以纯,7,798,-9.1429,365,0,0,,510,,,578,1446,365
7,原宿,643,25993,-15.9767,18633,0.0276,0.75,24524,15877,18108,18373,25588,30640,18633
8,bf,1319,48302,-22.9727,34200,0.0359,0.99,27308,25604,30958,28702,40646,40648,34200
9,chic,95,22538,-44.8316,15266,0.0368,0.62,2608,4219,2573,3563,11308,18672,15266
