热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170613,日期：20170614,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619
1,2017新款高腰牛仔热裤大码学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,3657,-0.326,209,2,1,1,1,1,4,1
2,夏季牛仔裤女中裤韩版小脚高腰紧身显瘦百搭薄款短裤七分八分裤女价格：228,东哞旗舰店,3322,-0.1096,240,493,220,57,,,12,2
3,高腰排扣性感破洞牛仔短裤女学生毛边2017夏新款韩版a字阔腿热裤价格：21.9,Since2015  沫沫家,1978,0.0373,238,14,8,10,5,5,59,3
4,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤刺绣裤裙价格：298,皇袍旗舰店,1932,-0.2752,167,13,5,9,12,2,33,4
5,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,1772,-0.2187,177,12,7,8,6,7,53,5
6,牛仔短裤女夏高腰韩版宽松学生百搭显瘦牛仔裤热裤子2017夏季新款价格：88,爱梦雅旗舰店,1752,-0.5855,204,76,55,64,109,52,6,6
7,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,1723,-0.299,167,7,3,4,7,6,39,7
8,超短裤女夏2017新款高腰韩版宽松显瘦学生热裤潮破洞白色牛仔短裤价格：118,索斐春天旗舰店,1708,-0.3698,152,17,13,13,16,4,30,8
9,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.98,HL哈喽妹妹,1682,-0.2795,169,9,4,7,8,3,50,9
10,高腰牛仔短裤女夏破洞宽松韩版显瘦学生卷边阔腿牛仔裤热裤超短裤价格：138,米阁娜服饰旗舰店,1675,-0.7464,194,137,157,234,371,394,2,10
11,牛仔短裤女夏季破洞毛边高腰白色宽松学生阔腿牛仔裤显瘦百搭热裤价格：99,KO裤业总店,1570,-0.2406,157,27,19,20,20,14,56,11
12,唐狮2017新款宽松牛仔短裤女夏季高腰阔腿牛仔短裤女显瘦韩版学生价格：239,唐狮官方旗舰店,1564,-0.7648,167,,,,,,1,12
13,牛仔短裤女夏白色高腰2017新款韩版宽松学生百搭大码胖mm显瘦热裤价格：288,香舒婷旗舰店,1538,-0.5586,210,67,72,67,120,51,11,13
14,2017夏装新款韩版宽松休闲七分裤背带裤女森女小清新学生连体裤子价格：588,鄂兹旗舰店,1532,0.5715,204,,,,,,179,14
15,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：19.9,Since2015  沫沫家,1524,0.1802,218,152,91,35,26,25,112,15
16,【新品5折】韩版高腰浅色毛边牛仔短裤女夏宽松显瘦热裤价格：99,SMA STUDIO 轻奢定制,1519,0,206,,,,,,,16
17,2017新款春夏装背带裤短裤宽松森女裤子可爱小清新休闲运动连体裤价格：105,戚米旗舰店,1429,-0.6765,100,39,134,189,243,259,5,17
18,海熙2017夏季破洞哈伦小脚裤女七分裤胖MM大码宽松牛仔马裤女高腰价格：170,海熙旗舰店,1374,-0.6316,188,,,,,,16,18
19,2017新款百搭短裤女夏薄款牛仔裤韩版热裤女学生高腰显瘦a字短裤价格：198,爱知肩旗舰店,1345,-0.1884,190,47,44,26,21,10,80,19
20,白色破洞高腰牛仔短裤女夏季2017新款韩版百搭宽松大码胖mm热裤bf价格：130,雅姿娘 YZN原创定制,1333,-0.206,188,18,12,19,17,11,77,20
21,牛仔短裤女夏季白色百搭牛仔裤2017新款韩版宽松学生高腰显瘦热裤价格：79,慕汀服饰旗舰店,1331,-0.5744,207,73,79,86,119,91,20,21
22,修身小脚牛仔裤女七分裤 夏季薄款韩版显瘦大码中裤女7八分裤子潮价格：98,迈可思旗舰店,1324,-0.4856,276,68,61,91,116,79,34,22
23,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,1271,-0.2036,200,10,2,2,4,8,87,23
24,春夏季薄款bf风韩版浅色破洞牛仔裤女高腰宽松显瘦九分裤哈伦裤子价格：199,flavie服饰旗舰店,1217,-0.3705,191,16,10,17,19,13,58,24
25,白色毛边牛仔短裤女破洞夏季阔腿宽松显瘦高腰大码A字型热裤学生价格：99,artinside旗舰店,1199,-0.3707,185,22,14,23,22,15,60,25
26,高腰牛仔短裤女夏学生卷边宽松显瘦a字短裤阔腿裤大码热裤女韩版价格：99,左岸偌安旗舰店,1185,-0.3262,158,25,29,15,32,26,74,26
27,牛仔短裤女夏白色2017新款高腰韩版宽松大码显瘦胖mm学生百搭热裤价格：109,慕汀服饰旗舰店,1183,-0.6767,238,283,277,222,166,131,13,27
28,蜜妃儿2017夏季新款女装韩版高腰牛仔短裤女夏热裤显瘦不规则下摆价格：116,蜜妃儿旗舰店,1154,-0.6403,144,140,148,156,221,161,18,28
29,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：29.9,Since2015  沫沫家,1129,-0.1422,193,19,9,14,13,16,106,29
30,逸阳女裤2017夏季新款牛仔裤女九分裤高腰铅笔裤八分小脚裤薄1795价格：149,逸阳旗舰店,1122,-0.8053,210,,,,,,3,30
31,夏季学生白色弹力破洞牛仔短裤女毛边大码韩版潮宽松显瘦阔腿热裤价格：39.98,小菲家新款每日更新,1122,-0.242,187,20,23,28,24,23,95,31
32,高腰牛仔短裤女夏2017新款韩版宽松阔腿裤卷边A字热裤学生超短裤价格：189,知讯旗舰店,1109,-0.3725,200,26,24,29,36,22,68,32
33,黑白灰色高腰牛仔短裤女夏毛边胖mm加肥大码宽松200斤韩版热裤潮价格：29.9,Since2015  沫沫家,1079,-0.2885,156,15,17,18,18,19,93,33
34,2017新款韩版时尚百搭a字宽松高腰牛仔短裤裙女夏显瘦薄阔腿热裤价格：99,初牛旗舰店,1078,-0.3348,197,33,25,27,37,27,83,34
35,玛玛绨2017夏季新款黑色牛仔裤韩版宽松阔腿显瘦高腰休闲短裤女潮价格：178,maxmartin玛玛绨旗舰店,1063,-0.6986,138,,,,,,10,35
36,2017春夏新款韩版高腰不规则毛边白色牛仔短裤女学生个性热裤子女价格：110,圣妮儿旗舰店,1057,-0.665,169,238,270,254,317,429,19,36
37,高腰牛仔短裤女夏白色百搭宽松学生韩版显瘦破洞牛仔短裤女热裤潮价格：109,尚琛旗舰店,1048,-0.3748,179,23,15,24,28,20,78,37
38,破洞牛仔超短裤女春夏季2017新款韩版百搭宽松学生高腰白色热裤子价格：298,淘牛世家旗舰店,1045,-0.6334,240,158,216,240,394,319,24,38
39,LRUD牛仔裤女2017夏装新款韩版女装高腰显瘦牛仔短裤宽松直筒热裤价格：110,lrud旗舰店,1038,-0.6889,155,,,,,,15,39
40,LRUD牛仔裤女2017夏季女装新款韩版高腰牛仔短裤女宽松阔腿裤热裤价格：110,lrud旗舰店,1032,-0.6943,177,,,,,,14,40
41,韩版春夏学生宽松显瘦高腰九分裤bf风破洞哈伦牛仔裤女长裤萝卜裤价格：116,贝迪谷旗舰店,1024,-0.7484,158,345,312,288,437,399,7,41
42,牛仔短裤女夏中腰弹力翻边破洞毛边大码韩版修身显瘦学生短裤女夏价格：108,摩狮顿旗舰店,991,-0.2363,185,30,27,32,40,28,109,42
43,2017春夏季新款高腰破洞牛仔裤女韩版宽松显瘦百搭裤子哈伦九分裤价格：208,前途旗舰店,923,-0.62,185,150,143,146,269,255,38,43
44,牛仔短裤女夏白色高腰卷边宽松显瘦2017新款a字韩版学生阔腿热裤价格：199,WDXJ 独家定制,895,-0.1916,258,37,33,36,51,32,142,44
45,夏季牛仔短裤女高腰韩版学生破洞修身阔腿宽松卷边白色百搭热裤价格：299,素柏旗舰店,894,-0.2652,169,34,31,48,89,45,125,45
46,2017韩版宽松牛仔短裤女夏高腰卷边阔腿超短裤学生显瘦BF破洞热裤价格：89,蜜柚旗舰店,892,-0.6185,158,,,,,,47,46
47,LRUD牛仔短裤女夏2017新款韩版裤子夏季高腰宽松牛仔裤阔腿裤热裤价格：110,lrud旗舰店,885,-0.733,173,,,,,,17,47
48,2017韩时尚高腰大码破洞牛仔短裤女夏宽松百搭显瘦学生热裤送腰带价格：118,品牛仔紫沫店,880,-0.1654,194,29,35,31,42,34,146,48
49,2017春夏新款破洞牛仔裤女九分裤松紧腰哈伦裤宽松显瘦七分裤大码价格：189,风恬旗舰店,868,-0.6605,198,381,,473,469,435,35,49
50,牛仔短裤女夏高腰韩版大码胖mm学生百搭松紧腰显瘦热裤2017新款潮价格：298,库碧旗舰店,863,-0.3069,176,35,34,37,72,33,119,50
51,【新品5折】复古卷边高腰破洞牛仔裤女学生九分裤价格：128,SMA STUDIO 轻奢定制,856,0,239,,,,,,,51
52,夏季学生白色弹力破洞牛仔短裤女毛边大码韩版潮宽松显瘦阔腿热裤价格：308,attainluxury奢臻旗舰店,855,-0.1733,230,24,26,30,44,31,156,52
53,宽松破洞牛仔裤女九分哈伦女裤子小脚韩版女装春夏季2017新款女潮价格：168,pnvn旗舰店,853,-0.7242,161,243,285,348,446,479,22,53
54,韩版新款高腰破洞牛仔短裤女夏胖mm大码阔腿裤显瘦性感毛边热裤潮价格：79,喜登米莱旗舰店,837,-0.1223,207,50,38,43,61,36,181,54
55,2017新款韩版学生高腰破洞毛边黑色牛仔短裤女夏季宽松阔腿热裤子价格：98,布俏旗舰店,831,-0.3534,183,28,22,25,38,30,111,55
56,黑色高腰chic短裤女夏2017新款复古显瘦阔腿卷边白色牛仔短裤热裤价格：188,SL潮流女装馆,829,-0.0395,179,233,132,78,114,83,211,56
57,粉色彩边牛仔短裤女夏2017新款韩版流苏破洞宽松阔腿热裤高腰显瘦价格：109,简尚轩,822,-0.3452,136,107,97,51,58,42,117,57
58,白色牛仔短裤女夏韩版2017新款a字超短裤裙宽松高腰大码阔腿热裤价格：298,野田妹旗舰店,820,-0.1804,181,142,125,70,71,37,163,58
