热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170615,日期：20170616,日期：20170617,日期：20170618,日期：20170619,日期：20170620,日期：20170621
1,高腰牛仔短裤女刺绣花破洞卷边2017夏季新款薄白色毛边学生女热裤价格：338,惜遇旗舰店,20403,0,307,,,,,,,1
2,2017新款高腰牛仔热裤大码学生显瘦韩版百搭宽松阔腿超短裤女夏季价格：45,雅羊人旗舰店,3220,-0.0619,212,1,1,1,4,1,1,2
3,ERQ 2017夏季新款韩版显瘦薄款拼接热裤百搭牛仔星星短裤女 夏价格：289,erq旗舰店,2645,0,230,,,197,,,,3
4,ZC 自留！怒推大显腿长无需ps的牛仔短裤高腰毛边阔腿裤女价格：59,ZC[紫川家族],2056,0,269,,,,,,,4
5,牛仔短裤女2017夏新款韩版高腰显瘦a字裤子宽松阔腿热裤刺绣裤裙价格：298,皇袍旗舰店,1750,-0.0559,177,9,12,2,33,4,6,5
6,夏季白色牛仔短裤女高腰排扣宽松学生破洞毛边阔腿裤弹力显瘦热裤价格：168,简芭朵旗舰店,1709,-0.0471,183,8,6,7,53,5,9,6
7,牛仔短裤女夏季破洞毛边高腰白色宽松学生阔腿牛仔裤显瘦百搭热裤价格：99,KO裤业总店,1704,-0.0181,153,20,20,14,56,11,10,7
8,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：19.9,Since2015  沫沫家,1647,0.0712,229,35,26,25,112,15,18,8
9,超短裤女夏2017新款高腰韩版宽松显瘦学生热裤潮破洞白色牛仔短裤价格：118,索斐春天旗舰店,1591,-0.128,153,13,16,4,30,8,8,9
10,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦2017新款短裤白色价格：168,纪悦旗舰店,1477,-0.1402,168,4,7,6,39,7,11,10
11,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.98,HL哈喽妹妹,1383,-0.1408,165,7,8,3,50,9,15,11
12,牛仔五分裤女夏宽松bf风2017新款韩版高腰破洞牛仔短裤chic中裤女价格：219,尚蔓蒂旗舰店,1329,3.1022,118,289,368,268,318,266,272,12
13,高腰排扣性感破洞牛仔短裤女学生毛边2017夏新款韩版a字阔腿热裤价格：21.9,Since2015  沫沫家,1219,-0.0394,212,10,5,5,59,3,24,13
14,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,1197,-0.0068,206,2,4,8,87,23,27,14
15,白色破洞高腰牛仔短裤女夏季2017新款韩版百搭宽松大码胖mm热裤bf价格：130,雅姿娘 YZN原创定制,1179,0.0415,191,19,17,11,77,20,31,15
16,白色毛边牛仔短裤女破洞夏季阔腿宽松显瘦高腰大码A字型热裤学生价格：99,artinside旗舰店,1171,-0.0143,179,23,22,15,60,25,29,16
17,春夏季薄款bf风韩版浅色破洞牛仔裤女高腰宽松显瘦九分裤哈伦裤子价格：199,flavie服饰旗舰店,1128,-0.0947,182,17,19,13,58,24,25,17
18,白色牛仔短裤女夏韩版2017新款a字超短裤裙宽松高腰大码阔腿热裤价格：298,野田妹旗舰店,1106,0.1829,167,70,71,37,163,58,50,18
19,黑白灰色高腰牛仔短裤女夏毛边胖mm加肥大码宽松200斤韩版热裤潮价格：29.9,Since2015  沫沫家,1015,-0.0838,164,18,18,19,93,33,34,19
20,高腰破洞牛仔短裤女夏潮毛边阔腿胖mm200斤宽松加肥加大码a字热裤价格：29.9,Since2015  沫沫家,950,-0.1567,193,14,13,16,106,29,37,20
21,牛仔短裤女夏高腰韩版大码胖mm学生百搭松紧腰显瘦热裤2017新款潮价格：298,库碧旗舰店,912,0.1038,165,37,72,33,119,50,66,21
22,高腰牛仔短裤女夏学生卷边宽松显瘦a字短裤阔腿裤大码热裤女韩版价格：99,左岸偌安旗舰店,911,-0.1459,158,15,32,26,74,26,40,22
23,高腰牛仔短裤女夏白色百搭宽松学生韩版显瘦破洞牛仔短裤女热裤潮价格：109,尚琛旗舰店,904,-0.1288,171,24,28,20,78,37,43,23
24,翘慕儿高腰牛仔短裤女夏白色百搭学生韩版显瘦牛仔短裤女热裤潮价格：169,翘慕儿旗舰店,903,0.5236,314,,,,,59,109,24
25,2017新款韩版学生高腰破洞毛边黑色牛仔短裤女夏季宽松阔腿热裤子价格：98,布俏旗舰店,901,0.0755,179,25,38,30,111,55,67,25
26,牛仔短裤女夏中腰弹力翻边破洞毛边大码韩版修身显瘦学生短裤女夏价格：108,摩狮顿旗舰店,897,-0.0757,190,32,40,28,109,42,48,26
27,粉色彩边牛仔短裤女夏2017新款韩版流苏破洞宽松阔腿热裤高腰显瘦价格：109,简尚轩,880,-0.0092,134,51,58,42,117,57,57,27
28,夏季学生白色弹力破洞牛仔短裤女毛边大码韩版潮宽松显瘦阔腿热裤价格：39.98,小菲家新款每日更新,870,-0.105,183,28,24,23,95,31,47,28
29,高腰牛仔短裤女夏2017新款韩版宽松阔腿裤卷边A字热裤学生超短裤价格：189,知讯旗舰店,866,-0.2112,190,29,36,22,68,32,38,29
30,夏季牛仔短裤女高腰韩版学生破洞修身阔腿宽松卷边白色百搭热裤价格：299,素柏旗舰店,862,0.0347,174,48,89,45,125,45,65,30
31,夏季学生白色弹力破洞牛仔短裤女毛边大码韩版潮宽松显瘦阔腿热裤价格：308,attainluxury奢臻旗舰店,860,0.0785,230,30,44,31,156,52,72,31
32,牛仔短裤女夏白色高腰卷边宽松显瘦2017新款a字韩版学生阔腿热裤价格：199,WDXJ 独家定制,831,-0.0403,252,36,51,32,142,44,61,32
33,牛仔短裤女夏白色2017新款高腰韩版宽松大码显瘦胖mm学生百搭热裤价格：109,慕汀服饰旗舰店,829,-0.3555,170,222,166,131,13,27,17,33
34,夏装女装韩版高腰阔腿裤宽松显瘦毛边缺口白色牛仔裤短裤学生热裤价格：29.98,可可里小姐,821,0.1952,164,95,75,41,155,87,94,34
35,黑色高腰chic短裤女夏2017新款复古显瘦阔腿卷边白色牛仔短裤热裤价格：188,SL潮流女装馆,808,0.0425,175,78,114,83,211,56,76,35
36,2017韩时尚高腰大码破洞牛仔短裤女夏宽松百搭显瘦学生热裤送腰带价格：118,品牛仔紫沫店,808,-0.0387,190,31,42,34,146,48,64,36
37,牛仔短裤女夏高腰宽松弹力热裤夏季女2017新款韩版a字学生阔腿裤价格：88,卡帛莉旗舰店,788,-0.021,158,59,68,50,194,67,69,37
38,牛仔短裤女夏高腰韩版宽松学生百搭显瘦牛仔裤热裤子2017夏季新款价格：88,爱梦雅旗舰店,783,-0.6125,160,64,109,52,6,6,2,38
39,牛仔短裤夏季女2017新款韩版高腰宽松破洞毛边学生阔腿裤显瘦热裤价格：139,纯儿服饰旗舰店,777,-0.0258,166,39,59,24,94,64,71,39
40,黑色破洞牛仔短裤女夏2017新款高腰百搭显瘦韩版学生时尚修身弹力价格：169,潮元素韩版女装,773,-0.0083,160,52,65,38,164,71,75,40
41,2017春季新款韩版牛仔短裤女裙裤浅蓝色裤裙半身裙女短裙女热裤价格：129,雅姿碧旗舰店,748,5.6168,104,,,,,,,41
42,韩版新款高腰破洞牛仔短裤女夏胖mm大码阔腿裤显瘦性感毛边热裤潮价格：79,喜登米莱旗舰店,745,0,208,43,61,36,181,54,81,42
43,夏季新款毛边破洞牛仔短裤女韩版高腰大码显瘦阔腿裤学生热裤子潮价格：129,铅笔奇奇旗舰店,732,0.0323,124,82,80,62,242,84,88,43
44,2017新款韩版时尚百搭a字宽松高腰牛仔短裤裙女夏显瘦薄阔腿热裤价格：99,初牛旗舰店,728,-0.191,191,27,37,27,83,34,56,44
45,牛仔短裤女夏学生白色破洞毛边2017新款韩版宽松大码高腰超短热裤价格：119,纹语旗舰店,725,0.0476,143,66,111,89,261,108,92,45
46,牛仔短裤女夏白色高腰2017新款韩版宽松学生百搭大码胖mm显瘦热裤价格：288,香舒婷旗舰店,695,-0.5407,162,67,120,51,11,13,12,46
47,天天特价高腰弹力牛仔短裤女哈伦松紧腰五分绣花显瘦阔腿大码热裤价格：195,语萱服饰,693,7.9471,182,,,,,,,47
48,修身小脚牛仔裤女七分裤 夏季薄款韩版显瘦大码中裤女7八分裤子潮价格：98,迈可思旗舰店,689,-0.5875,205,91,116,79,34,22,7,48
49,初牛2017夏季新款牛仔短裤女中腰弹力显瘦学生韩版休闲宽松热裤潮价格：198,初牛旗舰店,688,-0.1442,171,69,96,68,201,75,68,49
50,网格破洞牛仔短裤女夏新款高腰毛边渔网拼接短裤个性显瘦阔腿热裤价格：139,小歪潮流女装,686,-0.0283,225,47,69,43,234,72,87,50
51,牛仔短裤女2017夏季新款韩版高腰做旧破洞毛边宽松显瘦学生热裤潮价格：19,Nice潮人馆,678,-0.0208,175,60,78,49,219,77,91,51
52,高腰牛仔裤女九分裤夏装2017春夏季新款韩版显瘦小脚长裤铅笔裤子价格：128,爱斯麦乐驹专卖店,666,-0.0337,188,41,53,35,116,63,93,52
53,牛仔超短裤女夏2017新款高腰流行韩版百搭显瘦便宜破洞白色热裤子价格：298,安玖服饰专营店,661,0.1556,186,272,138,111,356,136,115,53
54,牛仔短裤女夏韩版大码胖mm松紧腰五分裤2017新款宽松高腰阔腿热裤价格：168,stylegoodyou旗舰店,648,0.1044,176,53,90,66,207,107,113,54
55,流苏毛边高腰牛仔短裤女夏季宽松阔腿热裤学生修身a字白色短裤子价格：159,简希玛旗舰店,647,-0.1525,168,54,115,53,180,80,78,55
56,牛仔短裤女夏季白色百搭牛仔裤2017新款韩版宽松学生高腰显瘦热裤价格：79,慕汀服饰旗舰店,644,-0.5501,176,86,119,91,20,21,16,56
57,韩版新款夏装个性破洞牛仔裤女宽松显瘦毛边短裤阔腿热裤休闲裤子价格：89.99,小V家实拍女装,643,1.5046,133,236,283,223,,309,421,57
58,牛仔短裤女2017春夏季新款学生高腰白色百搭超短热裤韩版宽松显瘦价格：88,旗维斯旗舰店,639,-0.0543,153,75,125,85,172,86,95,58
59,破洞牛仔裤女欧洲站2017春夏季新款显瘦哈伦裤大码BF风宽松九分裤价格：298,怡斐尚旗舰店,632,-0.4631,191,456,,,,,26,59
60,松紧腰高腰牛仔短裤女夏韩版2017新款宽松胖mm卷边显瘦大码短裤潮价格：89,卿若服饰旗舰店,632,-0.1257,146,42,52,29,88,65,86,60
61,高腰牛仔裤女九分裤春夏季2017新款韩版破洞学生铅笔裤黑色小脚裤价格：99,本真之美旗舰店,609,0.0912,193,93,147,73,252,96,123,61
62,新款高腰黑色显瘦卷边牛仔裤女韩版春夏季百搭女士九分铅笔小脚裤价格：198,绒懿旗舰店,608,-0.0633,195,45,64,44,189,73,98,62
63,cheeseY 夏季牛仔短裤女高腰韩版宽松学生黑色毛边阔腿显瘦热裤潮价格：6,666,cheeseY studio 芝柚定制,582,0.1515,96,115,153,78,192,109,136,63
64,2017新款七分牛仔裤女小脚修身弹力高腰薄款中裤翻边百搭马裤女夏价格：299,柔伊美旗舰店,578,0.014,193,58,79,65,195,122,120,64
65,超短裤女夏季韩版宽松百搭毛边高腰显瘦阔腿学生破洞牛仔裤热裤潮价格：19.9,苏菲家潮人馆,567,-0.0371,180,88,132,70,269,114,116,65
66,欧洲站破洞高腰牛仔短裤女士夏装2017新款大码显瘦时尚卷边热裤潮价格：159,郁小朵,566,0.0561,182,63,87,60,198,95,128,66
67,高腰牛仔短裤女夏宽松韩版大码胖mm学生百搭松紧腰显瘦2017新款潮价格：269,紫霞仙子与牛仔,563,0.1164,179,172,184,110,499,150,137,67
68,牛仔裤女春夏季2017新款韩版显瘦高腰百搭学生bf小脚破洞九分裤子价格：138,蕾媛旗舰店,561,-0.0226,166,102,122,57,200,91,119,68
69,毛边高腰短裤牛仔夏女韩版学生宽松阔腿热裤显瘦a字短裤白色裤子价格：140,雅姿时尚衣舍,553,0.3164,217,188,164,165,351,147,179,69
70,2017新款松紧腰牛仔短裤女夏韩版高腰薄款毛边热裤修身显瘦翻边裤价格：258,艾酷佳人女装品牌店,549,0.029,216,83,113,84,336,101,132,70
71,牛仔短裤女夏高腰宽松破洞热裤春季女2017新款韩版a字学生阔腿裤价格：90,东哞旗舰店,544,-0.1176,171,22,102,97,191,81,103,71
72,CHICVEN自制夏季新款 复古高腰显瘦阔腿翻边卷边牛仔短裤热裤 女价格：75,CHIC VEN,537,-0.1472,140,46,83,55,161,88,102,72
